phrase,df_total,df_Belek,df_Algarve,prev_Belek,prev_Algarve,logodds_B_vs_A,z_B_vs_A,lift_Belek,with_B,without_B,lift_Algarve,with_A,without_A
adult pool,89,76,13,0.030183,0.004915,1.6352189698801496,5.7695525568777635,0.1147,76,2442,0.2816,13,2632
amazing hotel,24,20,4,0.007943,0.001512,1.4938349236117654,2.8670120897887554,0.0962,20,2498,0.7429,4,2641
amazing place,12,10,2,0.003971,0.000756,1.493680693126553,2.027074384209378,0.0959,10,2508,0.7423,2,2643
amazing time,13,11,2,0.004369,0.000756,1.579582766846313,2.1694974507384535,0.2968,11,2507,0.242,2,2643
animation team,18,17,1,0.006751,0.000378,2.5171375515543133,2.8345874113792813,-0.2355,17,2501,-0.2583,1,2644
aqua park,14,14,0,0.00556,0.0,3.8860562943938497,2.0585741287446986,0.2253,14,2504,,0,0
attention to detail,48,32,16,0.012708,0.006049,0.6396912863229227,2.1417475558652996,0.0144,32,2486,-0.3856,16,2629
attentive staff,46,31,15,0.012311,0.005671,0.6708781444361946,2.1876805036541676,0.1032,31,2487,0.4108,15,2630
baby food,14,13,1,0.005163,0.000378,2.310801408029155,2.502407003582844,0.2197,13,2505,-0.2583,1,2644
back next year,86,59,27,0.023431,0.010208,0.7241479033468261,3.1993378104211243,0.2331,59,2459,0.6746,27,2618
beach area,61,47,14,0.018666,0.005293,1.1281393776486661,3.839953966675883,-0.2193,47,2471,0.2431,14,2631
beach club,18,3,15,0.001191,0.005671,-1.5426397888388923,-2.5640239435728995,0.2958,3,2515,0.0085,15,2630
beautiful garden,14,2,12,0.000794,0.004537,-1.7062078349771799,-2.3688393427670924,-0.2047,2,2516,0.494,12,2633
beautiful setting,19,4,15,0.001589,0.005671,-1.279295481497286,-2.3639895279166914,-0.7056,4,2514,0.4778,15,2630
bed apartment,50,0,50,0.0,0.018904,-3.9356531065199283,-3.9399909053563276,,0,0,0.1445,50,2595
bedroom suite,15,2,13,0.000794,0.004915,-1.7771111997709887,-2.4916981164915164,0.2957,2,2516,-0.1049,13,2632
bell boy,11,10,1,0.003971,0.000378,2.0977021925884305,2.1939422753730566,-0.0045,10,2508,0.7421,1,2644
big hotel,19,18,1,0.007149,0.000378,2.5594150995096365,2.908051045239257,-0.0381,18,2500,-0.2583,1,2644
big shout,12,10,2,0.003971,0.000756,1.493680693126553,2.027074384209378,-0.0045,10,2508,-1.2592,2,2643
big thank,16,14,2,0.00556,0.000756,1.7933139399375495,2.537369400550385,0.1535,14,2504,0.7423,2,2643
bit of a walk,14,3,11,0.001191,0.004159,-1.2584373904882575,-2.00765535134029,0.2958,3,2515,-0.0767,11,2634
bottle of water,41,6,35,0.002383,0.013233,-1.6814977166981313,-4.029474788470195,-0.5391,6,2512,-0.4933,35,2610
bouncy castle,15,1,14,0.000397,0.005293,-2.417928630160395,-2.6457586661351993,0.2956,1,2517,0.1713,14,2631
breakfast buffet,59,7,52,0.00278,0.01966,-1.8946107597018056,-5.05180312943609,-0.2767,7,2511,0.0112,52,2593
breakfast room,10,1,9,0.000397,0.003403,-2.0582549952428835,-2.124179589085122,0.2956,1,2517,0.1869,9,2636
buffet breakfast,39,3,36,0.001191,0.013611,-2.2962093853384262,-4.260171976925805,-0.0379,3,2515,0.1325,36,2609
buffet dinner,14,3,11,0.001191,0.004159,-1.2584373904882575,-2.00765535134029,-0.3716,3,2515,0.0146,11,2634
buffet restaurant,101,84,17,0.03336,0.006427,1.484103761206251,5.863174162567942,-0.1623,84,2434,0.0361,17,2628
buffet style,36,10,26,0.003971,0.00983,-0.9371657704821263,-2.59378047251428,0.1963,10,2508,-0.1831,26,2619
buggy driver,16,16,0,0.006354,0.0,3.886095118872266,2.2007302995165197,-0.1429,16,2502,,0,0
buggy service,24,23,1,0.009134,0.000378,2.733350331307628,3.236157362046541,-0.1406,23,2495,0.7421,1,2644
car park,20,1,19,0.000397,0.007183,-2.647708180014132,-3.0345571245086087,0.2956,1,2517,-1.1083,19,2626
carte restaurant,270,261,9,0.103654,0.003403,2.890359988058095,10.725584395584468,-0.1021,261,2257,-0.3706,9,2636
carya golf,23,23,0,0.009134,0.0,3.886230987443195,2.6386751882974373,0.2104,23,2495,,0,0
championship course,87,5,82,0.001986,0.031002,-2.5403552705280976,-6.361723766215347,-0.1047,5,2513,-0.3923,82,2563
championship golf course,24,2,22,0.000794,0.008318,-2.2253745741575424,-3.332396803509323,0.2957,2,2516,0.1063,22,2623
chocolate shop,14,14,0,0.00556,0.0,3.8860562943938497,2.0585741287446986,0.2253,14,2504,,0,0
clean room,22,16,6,0.006354,0.002268,0.9120181552768987,1.9631032023093415,-0.1429,16,2502,-0.0918,6,2639
club house,71,19,52,0.007546,0.01966,-0.9858170841282883,-3.7914830790864946,0.0326,19,2499,-0.283,52,2593
club restaurant,11,1,10,0.000397,0.003781,-2.1465806765845166,-2.245063246106674,0.2956,1,2517,-0.46,10,2635
coffee machine,31,10,21,0.003971,0.00794,-0.7348788833431428,-1.9622004800250517,-0.6069,10,2508,0.2197,21,2624
coffee shop,12,10,2,0.003971,0.000756,1.493680693126553,2.027074384209378,-0.3057,10,2508,-0.2584,2,2643
cold meat,17,2,15,0.000794,0.005671,-1.9022699717735705,-2.714406130740591,0.2957,2,2516,0.0085,15,2630
comfortable bed,51,17,34,0.006751,0.012854,-0.6886086869464663,-2.3764835448211326,0.0014,17,2501,0.2151,34,2611
common area,10,9,1,0.003574,0.000378,2.009377011136378,2.073736074343444,-0.8186,9,2509,0.7421,1,2644
communal area,10,1,9,0.000397,0.003403,-2.0582549952428835,-2.124179589085122,0.2956,1,2517,-0.7051,9,2636
couple of day,37,25,12,0.009929,0.004537,0.6784561562783145,1.9816510548897461,-0.0652,25,2493,-0.1757,12,2633
course in the area,19,5,14,0.001986,0.005293,-1.0067839455668377,-1.9934104460726332,-0.1047,5,2513,-0.3314,14,2631
credit to the hotel,50,41,9,0.016283,0.003403,1.4095688734863696,4.009791677798198,0.1268,41,2477,0.5213,9,2636
day golf break,10,1,9,0.000397,0.003403,-2.0582549952428835,-2.124179589085122,-0.7048,1,2517,-0.0361,9,2636
day holiday,22,17,5,0.006751,0.00189,1.1395423491685595,2.3222139131184694,-0.5316,17,2501,-0.2587,5,2640
delicious food,34,31,3,0.012311,0.001134,2.125246738303436,3.866160783243539,0.1685,31,2487,0.0752,3,2642
different hotel,17,13,4,0.005163,0.001512,1.0974522534874538,1.9873910405634911,0.1424,13,2505,-0.509,4,2641
dining area,25,6,19,0.002383,0.007183,-1.1221689224931035,-2.479450741296299,0.1291,6,2512,-0.1011,19,2626
dining room,35,11,24,0.004369,0.009074,-0.7712140539436048,-2.1742328082340845,-0.525,11,2507,0.1599,24,2621
dinner buffet,14,2,12,0.000794,0.004537,-1.7062078349771799,-2.3688393427670924,0.2957,2,2516,0.2429,12,2633
dressing room,13,11,2,0.004369,0.000756,1.579582766846313,2.1694974507384535,-0.0685,11,2507,-0.7588,2,2643
drink price,11,1,10,0.000397,0.003781,-2.1465806765845166,-2.245063246106674,-0.7048,1,2517,0.4435,10,2635
drink service,15,13,2,0.005163,0.000756,1.7282307158648447,2.4231625011074995,-0.1669,13,2505,0.242,2,2643
driving range,10,1,9,0.000397,0.003403,-2.0582549952428835,-2.124179589085122,0.2956,1,2517,-0.1476,9,2636
enjoyable week,12,2,10,0.000794,0.003781,-1.5425596772931414,-2.0934080639484334,-0.7051,2,2516,0.3431,10,2635
entertainment staff,16,16,0,0.006354,0.0,3.886095118872266,2.2007302995165197,-0.2058,16,2502,,0,0
entertainment team,44,41,3,0.016283,0.001134,2.35069897080981,4.440006777359022,0.1516,41,2477,-0.5922,3,2642
